code,course_name,description
GVPT306,Global Environmental Politics,Prerequisite: GVPT200. Restriction: Restriction: Must be in one of the following programs (Government & Politics; Government & Politics: International Relations) ; or permission of BSOS-Government & Politics department.
GVPT317,Mock Trial II: Advanced Trial Advocacy,Prerequisite: GVPT217.  Credit only granted for: GVPT317 or GVPT319B. Formerly: GVPT319B.
GVPT331,"Courts, Law and Justice",Prerequisite: GVPT170.
GVPT355,Capstone in International Conflict Management,Prerequisite: GVPT354.  Restriction: Enrollment is restricted to students in the Minor in International Development and Conflict Management; and sophomore standing or higher; and permission of BSOS-Government & Politics department.
GVPT356,Capstone in International Development,Prerequisite: GVPT354.  Restriction: Enrollment is restricted to students in the Minor in International Development and Conflict Management; and sophomore standing or higher; and permission of BSOS-Government & Politics department.
GVPT373,Geographic Information Systems for Redistricting,Prerequisite: GVPT392. Recommended: Recommended: at least one course in statistics.
GVPT390,Game Theory,"Restriction: Must not have completed ECON414.  Credit only granted for: GVPT399A, GVPT390, CMSC474 or ECON414.  Formerly: GVPT399A."
GVPT396,Introduction to Honors Research,Restriction: Must be in Government & Politics Honors Program; and must have permission of the Government & Politics Honors Program.
GVPT397,Honors Research,Prerequisite: GVPT396.  Restriction: Must be in Government & Politics Honors Program.
GVPT406,International Organizations,Prerequisite: GVPT200.  Restriction: Must be in Government & Politics program; and junior standing or higher. Or must be in Government & Politics: International Relations program; and junior standing or higher.
GVPT423,Elections and Electoral Behavior,Prerequisite: GVPT241 and GVPT170.  Restriction: Must be in Government & Politics program.
GVPT432,Civil Rights and the Constitution,Prerequisite: GVPT170 and GVPT331.  Restriction: Must be in one of the following programs (Government & Politics; Government & Politics: International Relations).
GVPT445H,Marxism and Postmarxism,Restriction: Must be in a major within BSOS-Government & Politics department.
GVPT456,The Politics of Terrorism,Prerequisite: GVPT200.  Restriction: Must be in Government & Politics program; or must be in Government & Politics: International Relations program.  Credit only granted for: GVPT456 or GVPT459T.  Formerly: GVPT459T.
GVPT457,American Foreign Relations,Prerequisite: GVPT200.  Restriction: Must be in Government & Politics program; and junior standing or higher.
GVPT461,Local Politics and Government,Prerequisite: GVPT170.  Restriction: Must be in Government & Politics program; or must be in Government & Politics: International Relations program.  Credit only granted for: GVPT461 or GVPT479L.  Formerly: GVPT479L.
GVPT473H,The U.S. Congress,Prerequisite: GVPT241 and GVPT170.  Restriction: Junior standing or higher. And must be in Government & Politics program; or must be in Government & Politics: International Relations program.
GVPT487,Government and Politics of China,Restriction: Must be in one of the following programs (Government & Politics; Government & Politics: International Relations) ; and junior standing or higher.  Credit only granted for: GVPT359A or GVPT487. Formerly: GVPT359A.
GVPT722,Advanced Quantitative Methods For Political Science,Prerequisite: GVPT622; or permission of instructor.
GVPT771,Seminar in American Political Behavior,"This is the core seminar in American political behavior. The course will deal with prominent theoretical and empirical issues in the areas of voting, public opinion, political participation and other aspects of political behavior in the American context."
GVPT831,Formal Theories of Politics I,"Survey of major formal theories of politics, with emphasis on those theories based on the assumptions of rationality. The theory of public goods, game theory, coalition theory, and the theoretical properties of voting systems."
GVPT873,Seminar in Legislatures and Legislation,Reports on topics assigned for individual study and reading about the composition and organization of legislatures and about the legislative process.
HACS101,Applied Cybersecurity Foundations,Prerequisite: Minimum grade of C- in HACS100.  Restriction: Must be a student in the ACES (Advanced Cybersecurity Experience for Students) Living-Learning Program.
HACS101,Applied Cybersecurity Foundations,Prerequisite: Minimum grade of C- in HACS100.  Restriction: Must be a student in the ACES (Advanced Cybersecurity Experience for Students) Living-Learning Program.
HACS202,Group Project in Cybersecurity,"Restriction: Must be a first-year student in the ACES (Advanced Cybersecurity Experience for Students) Minor Program; and cannot have been an ACES Living-Learning Program student (i.e., have taken HACS100 and HACS102)."
HACS287,Undergraduate Research in Cybersecurity,Restriction: Must be a student in the ACES (Advanced Cybersecurity Experience for Students) Living-Learning Program; and permission of UGST-HCOL-ACES Cybersecurity Program.
HACS297,Cybersecurity Experience Reflection,Restriction: Must be a student in the ACES (Advanced Cybersecurity Experience for Students) Living-Learning Program; and permission of UGST-HCOL-ACES Cybersecurity Program.
HDCC106,Introduction to Digital and Creativity II,Restriction: Must be in the Digital Cultures and Creativity Honors College Living/Learning program.
HDCC106,Introduction to Digital and Creativity II,Restriction: Must be in the Digital Cultures and Creativity Honors College Living/Learning program.
HEBR107,Intensive Elementary Hebrew II,Prerequisite: HEBR106 or HEBR111; or must have appropriate score on Foreign Language Placement Assessment; or students who have taken courses with comparable content may contact the department.  Credit only granted for: HEBR107 or HEBR112.
HEBR107,Intensive Elementary Hebrew II,Prerequisite: HEBR106 or HEBR111; or must have appropriate score on Foreign Language Placement Assessment; or students who have taken courses with comparable content may contact the department.  Credit only granted for: HEBR107 or HEBR112.
HEBR207,Intensive Intermediate Hebrew II,Prerequisite: Must have completed HEBR206 OR HEBR211; or have the appropriate Score on the Foreign Language Placement Assessment; or students who have taken courses with comparable content may contact the department.  Credit only granted for: HEBR207 or HEBR212.
HEBR314,Conversation and Composition II,Prerequisite: HEBR313; or students who have taken courses with comparable content may contact the department.
HEBR386,Experiential Learning,"Restriction: Must have a Learning Proposal approved by the Office of Experiential Learning Programs, faculty sponsor, and student's internship sponsor; and junior standing or higher."
HEIP144,Contemporary Issues in Entrepreneurship and Innovation,Prerequisite: HEIP143.  Restriction: Must be in the Entrepreneurship and Innovation Program (EIP).
HEIP144,Contemporary Issues in Entrepreneurship and Innovation,Prerequisite: HEIP143.  Restriction: Must be in the Entrepreneurship and Innovation Program (EIP).
HEIP241,EIP Capstone: Creating Enterprise with Social Impact,Restriction: Must be in the Entrepreneurship and Innovation Program (EIP).
HESI217,Introduction to Student Leadership,Restriction: Freshman standing; or sophomore standing.
HESI217,Introduction to Student Leadership,Restriction: Freshman standing; or sophomore standing.
HESI310,Transfer2Terp Learning Community: Applying Your Strengths at the University of Maryland and Beyond,"Restriction: Priority will be given to students transferring from Maryland Community Colleges; or permission of EDUC-Counseling, Higher Education and Special Education department."
HESI315,Student Leadership in Groups and Organizations,Prerequisite: HESI217.  Credit only granted for: HESI315 or EDCP315. Formerly: EDCP315.
HESI321,Advanced Social Action Seminar,Prerequisite: HESI217 and HESI320.  Restriction: Limited to Minor in Leadership Studies students only.
HESI417,Advanced Leadership Seminar,"Prerequisite: HESI217; or students who have taken courses with comparable content may contact the department.  Restriction: Permission of EDUC-Counseling, Higher Education and Special Education department. Credit only granted for: EDCP417 or HESI417."
HESI470,Introduction to Student Personnel,"Restriction: Permission of EDUC-Counseling, Higher Education and Special Education department.  Credit only granted for: EDCP470 or HESI470.  Formerly: EDCP470."
HESI655,Organizational Dimensions of Student Affairs,"Prerequisite: EDCP610; or permission of EDUC-Counseling, Higher Education and Special Education department.  Credit only granted for: EDCP655 or HESI655.  Formerly: EDCP655."
HESI771,The College Student,Credit only granted for: EDCP771 or HESI771.  Formerly: EDCP771.
HESI773,Designing Qualitative Research in Counseling and Student Affairs Contexts,Credit only granted for: EDCP773 or HESI773.  Formerly: EDCP773.
HESP120,Introduction to Linguistics,Additional information: HESP120 is required for HESP majors. HESP majors may not substitute LING200.
HESP120,Introduction to Linguistics,Additional information: HESP120 is required for HESP majors. HESP majors may not substitute LING200.
HESP202,Introduction to Hearing and Speech Sciences,"An introduction to communication sciences and disorders; a survey of the bases of normal speech, language and hearing ability, major forms of communicative disorders and their treatment."
HESP214,Should I Buy INTO That? Comparing Media Claims with Scientific Evidence from Brain & Behavior Research,"Millions of dollars are spent each year advertising products that ""make you smarter"" or ""learn a foreign language faster"" or ""increase your memory"", etc. But are these statements true? Can they be backed up? Learn how to critically evaluate media claims of new discoveries in brain and behavior. Read popular-press articles, listen to podcast episodes and review commercial products that claim to be based on science. Then, learn how to find out if the claims are true."
HESP300,Introduction to Psycholinguistics,Prerequisite: Minimum grade of C- in HESP202; or permission of BSOS-Hearing & Speech Sciences department.  Recommended: HESP120.
HESP303,Phonetic transcription,Prerequisite: Permission of instructor.
HESP306,Anatomy and Physiology of Speech & Hearing,Prerequisite: Permission of instructor.
HESP311,"Anatomy, Pathology and Physiology of the Auditory System",Prerequisite: Minimum grade of C- in HESP202; or permission of BSOS-Hearing & Speech Sciences department.
HESP386,Experiential Learning,Restriction: Junior standing or higher; and permission of BSOS-Hearing & Speech Sciences department.
HESP400,Speech and Language Development in Children,Prerequisite: Minimum grade of C- in HESP300; or permission of BSOS-Hearing & Speech Sciences department.  Recommended: LING200 or HESP120.  Restriction: Must be in Hearing and Speech Sciences program; or permission of BSOS-Hearing & Speech Sciences department.
HESP402,Language and Phonological Disorders in Children,Prerequisite: Minimum grade of C- in HESP400; or permission of BSOS-Hearing & Speech Sciences department.  Restriction: Must be in Hearing and Speech Sciences program.
HESP403,Introduction to Phonetic Science,Prerequisite: Minimum grade of C- in HESP305; or permission of BSOS-Hearing & Speech Sciences department.  Restriction: Must be in Hearing and Speech Sciences program; or permission of BSOS-Hearing & Speech Sciences department.
HESP407,Bases of Hearing Science,Prerequisite: Minimum grade of C- in HESP311; or permission of BSOS-Hearing & Speech Sciences department.  Restriction: Must be in Hearing and Speech Sciences program; or permission of BSOS-Hearing & Speech Sciences department.
HESP411,Introduction to Audiology,Prerequisite: Minimum grade of C- in HESP311; or permission of BSOS-Hearing & Speech Sciences department.  Restriction: Must be in Hearing and Speech Sciences program; or permission of BSOS-Hearing & Speech Sciences department.
HESP413,Aural Rehabilitation/Habilitation,Prerequisite: HESP411.  Restriction: Sophomore standing or higher.
HESP415,Principles and Methods in Speech-Language Pathology,Prerequisite: HESP400.  Restriction: Must be in Hearing and Speech Sciences program.
HESP417,Principles and Methods in Speech-Language Pathology and Audiology,Prerequisite: HESP400 and HESP411; or permission of BSOS-Hearing & Speech Sciences department.  Restriction: Must be in Hearing and Speech Sciences program; or permission of BSOS-Hearing & Speech Sciences department.
HESP601,Foundations of Scientific Inquiry,Restriction: Must be in Hearing and Speech Sciences: M.A. (Master's) program; or permission of Instructor.  Additional information: Course meets over three semesters for the duration of the Masters of Speech-Language Pathology program.
HESP602,Advanced Seminar in Neurological Bases of Communication,Prerequisite: An undergraduate course in human neuroanatomy. Restriction: Permission of BSOS-Hearing & Speech Sciences department.
HESP603,Seminar in Cultural and Linguistic Diversity in Communication Disorders,Restriction: Must be in Hearing and Speech Sciences: M.A. (Master's) program; or permission of Instructor.  Additional information: Course meets over four semesters for the duration of the Masters of Speech-Language Pathology program.
HESP611,Cognitive Disorders in Adults,Prerequisite: Must have completed or be concurrently enrolled in HESP610; and must have knowledge of basic human neuroanatomy. Restriction: Must be in Hearing and Speech Sciences: M.A. (Master's) program; or permission of instructor.
HESP612,Fluency Disorders,Restriction: Must be in Hearing and Speech Sciences: M.A. (Master's) program; and permission of BSOS-Hearing & Speech Sciences department. Or permission of instructor.
HESP620,Speech Production Disorders Across the Lifespan,Restriction: Must be in Hearing and Speech Sciences: M.A. (Master's) program; or permission of instructor.
HESP630,Electrophysiological Measurements,Prerequisite: HESP606.  Restriction: Must be in Clinical Audiology: Au.D. or Ph.D. (Doctoral) program; and permission of BSOS-Hearing & Speech Sciences department. Or permission of instructor.
HESP632,Medical Audiology,Prerequisite: HESP311.  Corequisite: HESP606.
HESP636,Geriatric Audiology,Prerequisite: HESP606 and HESP700.  Restriction: Must be in one of the following programs (Hearing and Speech Sciences: Ph.D. (Doctoral); Clinical Audiology: Au.D. or Ph.D. (Doctoral); Hearing and Speech Sciences: M.A. (Master's)).
HESP701,Hearing Aids II,Prerequisite: HESP700.  Restriction: Must be in one of the following programs (Hearing and Speech Sciences: Ph.D. (Doctoral); Clinical Audiology: Au.D. or Ph.D. (Doctoral); Hearing and Speech Sciences: M.A. (Master's)) ; and permission of BSOS-Hearing & Speech Sciences department. Or permission of instructor.
HESP706,Advanced Clinical Audiology,Prerequisite: HESP606; or students who have taken courses with comparable content may contact the department.
HESP724,Research Design,Prerequisite: Must have completed a course in basic statistics.
HHUM106,Honors Humanities: The Humanities in Practice,Recommended: HHUM105.  Restriction: Must be in the Honors Humanities Program.  Additional information: Priority enrollment will be given to students in Honors Humanities.
HHUM106,Honors Humanities: The Humanities in Practice,Recommended: HHUM105.  Restriction: Must be in the Honors Humanities Program.  Additional information: Priority enrollment will be given to students in Honors Humanities.
HHUM206,Honors Humanities Keystone Project,"Design, execution and completion of students' chosen Keystone Projects in the form of research, creativity, or service.   Students will have formulated tentative plans for their projects in HHUM106; in this course they will revise and augment those proposals, articulate their connections with the traditions and methods of the humanities, formulate a work plan for completing the project within one semester, and work with their fellow students to workshop their materials as they develop.  The course will culminate in a presentation of the project at the annual Keystone Symposium and with the submission of the project in its final form."
HISP200,The Everyday and the American Environment,Jointly offered with HISP615.
HISP200,The Everyday and the American Environment,Jointly offered with HISP615.
HISP630,Preservation Policy and Planning,Prerequisite: Permission of ARCH-Historic Preservation Program.  Credit only granted for: HISP619M or HISP630.  Formerly: HISP619M.
HISP635,Social and Ethnic Issues in Historic Preservation Practice,Prerequisite: Permission of ARCH-Historic Preservation Program.  Credit only granted for: HISP628E or HISP635.  Formerly: HISP628E.
HISP640,"Historic Preservation Law, Advocacy and Public Policy",Prerequisite: Permission of ARCH-Historic Preservation Program.  Credit only granted for: HISP619C or HISP640.  Formerly: HISP619C.
HISP645,Archaeology and Preservation,Prerequisite: Permission of ARCH-Historic Preservation Program.  Credit only granted for: HISP619A or HISP645.  Formerly: HISP619A.
HISP660,Internship in Historic Preservation,Prerequisite: Permission of ARCH-Historic Preservation Program. Formerly: HISP619.
HISP670,"Conservation of Historic Places: Historic Materials, Building Systems, and Conservation",Prerequisite: Permission of ARCH-Historic Preservation Program.  Credit only granted for: HISP619T or HISP670.  Formerly: HISP619T.
HISP701,Certificate Portfolio Project,Prerequisite: Permission of ARCH-Historic Preservation Program.
HISP710,Final Project in Historic Preservation I,Credit only granted for: HISP700 or HISP710.  Formerly: HISP700.
HISP711,Final Project in Historic Preservation II,Credit only granted for: HISP700 or HISP711.  Formerly: HISP700.
HIST108A,Freshman/Sophomore Seminar in History; Incarceration Nation,"Interpretation of select literature and art of the ancient Mediterranean world with a view to illuminating the antecedents of modern culture; religion and myth in the ancient Near East; Greek philosophical, scientific, and literary invention; and the Roman tradition in politics and administration."
HIST110,The Ancient World,"Interpretation of select literature and art of the ancient Mediterranean world with a view to illuminating the antecedents of modern culture; religion and myth in the ancient Near East; Greek philosophical, scientific, and literary invention; and the Roman tradition in politics and administration."
HIST111,The Medieval World,"The development of Europe in the Middle Ages; the role of religious values in shaping new social, economic, and political institutions; medieval literature, art and architecture."
HIST113,The Making of Modern Europe,Evolution of modern nation states since late medieval times. Industrial-economic structure and demography. Emergence of modern secular society.
HIST142,Looking at America through a Global Lens,Credit only granted for: HIST289I or HIST142.  Formerly: HIST289I.
HIST200,Interpreting American History: Beginnings to 1877,Credit only granted for: HIST156 or HIST200.  Formerly: HIST156.
HIST201,Interpreting American History: From 1865 to the Present,Credit only granted for: HIST157 or HIST201.  Formerly: HIST157.
HIST204,Introduction to the History of Science,Credit only granted for: HIST174 or HIST204.  Formerly: HIST174.
HIST211,"Love, Labor, and Citizenship: History of American Women  Since 1880",Cross-listed with WMST211.  Credit only granted for: HIST211 or WMST211.
HIST221,Asian American History,Cross-listed with AAST201.  Credit only granted for: AAST201 or HIST221.
HIST222,Immigration and Ethnicity in America,Credit only granted for: AAST222 or HIST222.
HIST225,"Modern Military History, 1815-Present","The military history of Europe through an examination of the economic, financial, strategic, tactical, and technological aspects of the development of military institutions and warfare from the Congress of Vienna in 1815 to the present."
HIST233,Empire! The British Imperial Experience 1558-1997,Credit only granted for: HIST219P or HIST233.  Formerly: HIST219P.
HIST235,"Divorced, Beheaded, Deposed: England and Britain 1485-1689","British history from the War of the Roses to the Hanoverian succession; Yorkist and Tudor society and politics; the Renaissance and Reformation in England, Henry VIII through Elizabeth I; 17th-century crises and revolutions; intellectual and cultural changes; the beginnings of empire; the achievement of political and intellectual order."
HIST237,Russian Civilization,An overview of Russian history stressing the main lines of development of the Russian state and the evolution of Russian culture to the present day.
HIST245,"Reformers, Radicals, and Revolutionaries: The Middle East in the Twentieth Century",Credit only granted for: HIST219W or HIST245.  Formerly: HIST219W.
HIST251,Latin America Since Independence,Cross-listed with HIST251.  Credit only granted for: HIST251 or LASC251.
HIST255,"African-American History, 1865 - Present","An introductory course in the African-American experience in the United States from 1865 to the present. Topics include the aftermath of the Civil War on US race relations, the rise of segregation, northern migration, World War I and II, Civil Rights Movements, and the Black Power Movement."
HIST281,Inventing Traditions: The Making of Rabbinic Judaism,Cross-listed with JWST230.  Credit only granted for: HIST281 or JWST230.
HIST285,East Asian Civilization II,"A survey of the historical development of modern Asia since 1700. Primarily concerned with the efforts of East Asians to preserve their traditional cultures in the face of Western expansion in the 18th and 19th centuries, and their attempts to survive as nations in the 20th century."
HIST307,The Holocaust of European Jewry,Cross-listed with JWST345.  Credit only granted for: HIST307 or JWST345.
HIST320,Early Christianity: Jesus to Constantine,Prerequisite: Must have completed one course in ancient history at the 200 level.  Cross-listed with JWST331.  Credit only granted for: HIST320  or JWST331.
HIST321,Biblical History and Culture,"Cross-listed with: JWST324. Credit only granted for: HIST321, or JWST324."
HIST324,Classical Greece,"The ancient Greeks from Homer to Socrates, 800-400 B.C. Society and religion of the city-state, the art and literature of Periclean Athens, the Peloponnesian War, and the intellectual circle of Socrates."
HIST354,Ante-Bellum America 1815-1861,"Prerequisite: HIST200, HIST210, HIST213, HIST222, HIST254, or HIST275; or must have completed HIST156; or permission of instructor."
HIST356,"Emergence of Modern America, 1900-1945","Prerequisite: HIST201, HIST211, HIST213, HIST222, HIST255, or HIST275; or must have completed HIST157; or permission of instructor."
HIST357,Recent America: 1945-Present,"Prerequisite: HIST201, HIST211, HIST213, HIST222, HIST255, or HIST275; or must have completed HIST157; or permission of instructor."
HIST386,Experiential Learning,Restriction: Permission of ARHU-History department; and junior standing or higher.
HIST396,Honors Colloquium II,Prerequisite: Permission of ARHU-History department; or HIST395. Restriction: Must be in History program.
HIST417,"Colonial Encounters: Natives, Spaniards, and Africans in the New World",Recommended: HIST220 and HIST250.  Credit only granted for: HIST417 or HIST428Y.  Formerly: HIST428Y.
HIST425,Imperial Russia,"The rise and fall of the Russian Empire, Peter the Great to the collapse of tsarism in revolution. Emphasis on the evolution of autocracy, social groups, national identities, and cultural change."
HIST431,"Becoming Great Britain, 1603-1704","An examination of the political, religious, and social forces in English life, 1603-1714, with special emphasis on Puritanism and the English revolutions."
HIST437,Modern France from Napoleon to DeGaulle,The changing political and cultural values of French society in response to recurrent crises throughout the 19th and 20th centuries. Students should have had some previous survey of either Western civilization or European history.
HIST455,Constitutional History of the United States: Since 1865,"American public law and government, with emphasis on the interaction of government, law, and politics, and the relationship between the constitution and social forces and influences, the way in which constitutional principles, rules, ideas, and institutions affect events and are in turn affected by events.  Major crises in American government and politics such as Reconstruction,the rise of corporate power, civil liberties during wartime, the New Deal era, the civil disorders of the 1960s."
HIST460,History of Labor in the United States,"Prerequisite: HIST200, HIST201, HIST210, HIST211, HIST222, HIST255, or HIST275; or must have completed HIST156 or HIST157; or permission of instructor."
HIST462,"Slavery, Sectionalism, and the U.S. Civil War","Slavery, sectionalism, and the coming of the Civil War.  Resources and strategy of the Confederacy and the Union, the war's changing character, emancipation and its consequences, conditions on the home front, and the wartime origins of Reconstruction."
HIST476,Jews in Medieval Times 1000-1450,"Recommended: HIST282, HIST330, HIST331, or JWST234.  Cross-listed with J WST432.  Credit only granted for: HIST476 or JWST432."
HIST483,History of Japan Since 1800,"Japan's renewed contact with the Western world and emergence as a modern state, industrial society, and world power, 1800-1931; and Japan's road to war, occupation, and recovery, 1931 to the present."
HIST495,Women in Medieval Culture and Society,Cross-listed with WMST455.  Credit only granted for: HIST495 or WMST455.
HIST601,History and Contemporary Theory,"An introduction to contemporary theories in philosophy, literary criticism, cultural studies, anthropology, and other fields; and analysis of their usefulness to historians."
HIST720,Readings in the History of the Catholic Church,"This is graduate-level readings seminar in the modern history of the Catholic Church. We will begin with the Reformation and proceed through the present day. This course will combine European history with global history, looking both at how the Church changed in the face of major turning points in modern European history (the Scientific, French, and Russian Revolutions; the two world wars; and the Cold War) and at its missionary encounters and long-term presence across the world (in Latin America, India, China, Africa, and North America)."
HIST810,Museum Research Seminar,"Prerequisite: AMST655, ANTH655, or HIST610.  Cross-listed with ANTH856,  AMST856.  Credit only granted for: AMST856, ANTH856, or HIST810."
HIST811,Museum Scholarship Practicum,"Prerequisite: AMST856, ANTH856, or HIST810.  Restriction: Permission of Museum Scholarship Program required.  Cross-listed with ANTH857,  AMST857.  Credit only granted for: AMST857, ANTH857, or HIST811."
HLMN471,Entrepreneurial Finance,"Restriction: Restricted to students in the Hillman Entrepreneurs Program.  Credit only granted for: HLMN471, ENES466 or BMGT365. Additional information: HLMN471 may not count toward any BMGT major or minor degree."
HLMN471,Entrepreneurial Finance,"Restriction: Restricted to students in the Hillman Entrepreneurs Program.  Credit only granted for: HLMN471, ENES466 or BMGT365. Additional information: HLMN471 may not count toward any BMGT major or minor degree."
HLMN473,Consulting in Tech Entrepreneurship,Restriction: Restricted to students in the Hillman Entrepreneurs Program.  Additional information: HLMN473 may not count toward any BMGT major or minor degree.
HLSA300,Introduction to Health Policy and Services,Prerequisite: Must have completed or be concurrently enrolled in SPHL100 or PHSC300.  Restriction: Must be in Public Health Science program; and must have earned a minimum of 60 credits.  Credit only granted for: SPHL498P or HLSA300.  Formerly: SPHL498P.
HLSA300,Introduction to Health Policy and Services,Prerequisite: Must have completed or be concurrently enrolled in SPHL100 or PHSC300.  Restriction: Must be in Public Health Science program; and must have earned a minimum of 60 credits.  Credit only granted for: SPHL498P or HLSA300.  Formerly: SPHL498P.
HLSA484,Redesigning Health Care: Developing a Clinic to Meet Community Needs,"Restriction: Must have completed a minimum of 60 credits.  Additional information: Two sessions will be on-site at the Mona Clinic in Temple Hills, MD, and the remaining sessions will be taught in the University of Maryland's Academy for Innovation and Entrepreneurship."
HLSA710,Healthcare Management: Foundations and Principles,Restriction: Must be in Master of Health Administration (Master's) program; or must be in Health Services Ph.D. (Doctoral) program.
HLSA711,Health Economics and Analysis,"Provides an analysis of health and health care services as economic goods. Using microeconomic theories, we will examine the behavior of health care providers, consumers, markets, and firms."
HLSA714,Economic Evaluation of Medical Care,Prerequisite: HLSA601 and EPIB650; or students who have taken courses with comparable content may contact the department.
HLSA720,Health Law and Ethics,"The legal system helps determine the relationships prevailing among individuals, institutions and governments by setting out the rights, duties and powers of the various parties. This course will look at some of the more important concepts the law uses within the context of health services and public health."
HLSA721,Using Demographic Data for Health Policy Analysis,Prerequisite: EPIB650; or students who have taken courses with comparable content may contact the department; or permission of instructor.  Additional information: Priority enrollment will be given to students in the Department of Health Services Administration programs.
HLSA723,Health Policy Analysis and Advocacy,Prerequisite: HLSA601.
HLSA740,Healthcare Strategic Planning and Marketing,Restriction: Must be in a major in SPHL-School of Public Health; or permission of instructor.
HLSA766,Foundational Readings in Health Services Research,Prerequisite: Completion of the six HLSA Health Services Research core courses.  Restriction: Must be in Health Services Ph.D. (Doctoral) program.
HLSA772,Healthcare Leadership and Communications,"Health care administrators rely on transformational leadership skills and insights to help their organizations rise to the social financial, public health, and technological challenges of the future. Students will assess and develop their leadership strengths, apply key leadership communication principles, and critically analyze relevent leadership models, exploring their utility in addressing key leadership issues in health care organizations. An underlying theme will be the identification of core values involved in health care delivery, integration of those values in personal and organizational missions, and effective communication to stakeholders."
HLSA777,Program Evaluation Field Experience,Additional information: Students will travel to the program site approximately three times to guide the evaluation design and collect data.
HLSA785,Internship in Public Health,Prerequisite: Permission of SPHL-Health Services Administration department.  Credit only granted for: HLSA785 or HLSA778.
HLSA786,Capstone Project in Public Health,Prerequisite: Permission of SPHL-Health Services Administration department.
HLSA787,Minority Health and Health Equity,Restriction: Must be in a major in SPHL-School of Public Health; or permission of instructor.
HLSC322,Principles of Genetics and Genomics,Prerequisite: HLSC207.  Restriction: Must be in a major in UGST-HCOL-Integrated Life Sciences Program.  Credit only granted for: HLSC322 or BSCI222.
HLSC322,Principles of Genetics and Genomics,Prerequisite: HLSC207.  Restriction: Must be in a major in UGST-HCOL-Integrated Life Sciences Program.  Credit only granted for: HLSC322 or BSCI222.
HLTH106,Drug Use and Abuse,"An interdisciplinary analysis of contemporary drug issues and problems. The course will examine physiological, psychological, social, philosophical, historical, legal and health aspects of drug use and abuse. Special attention will be focused on those general motivations for drug use that attend life on the college campus."
HLTH106,Drug Use and Abuse,"An interdisciplinary analysis of contemporary drug issues and problems. The course will examine physiological, psychological, social, philosophical, historical, legal and health aspects of drug use and abuse. Special attention will be focused on those general motivations for drug use that attend life on the college campus."
HLTH106H,Drug Use and Abuse,"An interdisciplinary analysis of contemporary drug issues and problems. The course will examine physiological, psychological, social, philosophical, historical, legal and health aspects of drug use and abuse. Special attention will be focused on those general motivations for drug use that attend life on the college campus."
HLTH124,Introduction to Behavioral and Community Health,Restriction: Must be in a major within the SPHL-Behavioral & Community Health department.
HLTH130,Introduction to Public and Community Health,Restriction: Must not have completed HLTH105; and non-majors must have 45 or fewer credits.  Credit only granted for: HLTH105 or HLTH130. Formerly: HLTH105.
HLTH140,Personal and Community Health,"Meaning and significance of physical, mental and social health as related to the individual and to society; important phases of national health problems; constructive methods of promoting health of the individual and the community."
HLTH140H,Personal and Community Health,"Meaning and significance of physical, mental and social health as related to the individual and to society; important phases of national health problems; constructive methods of promoting health of the individual and the community."
HLTH200,Introduction to Research in Community Health,Restriction: Must be in Community Health program.
HLTH230,Introduction to Health Behavior,"Psychological, social psychological, and sociological approaches to the following health areas: development of health attitudes and behavior, patient-provider interaction and the organization of health care."
HLTH234,Global Health Messages: Understanding Exposure & Impact.,"Using a global perspective, this course teaches students to be critical consumers of current and historical health communication interventions. It also provides students with the skills to develop media interventions that target specific and general populations. Students will discover the array of diverse media messages that influence the health and well-being of individuals and communities."
HLTH264,Tweets & Likes: Digital Health & Social Media,"Examines the current and potential use of digital health and social media to influence public health. Provides an overview of knowledge, skills and terminology necessary to optimize the effectiveness of these technologies to contribute to the enhancement of individual and community health."
HLTH285,Controlling Stress and Tension,"Health problems related to stress and tension. Analysis of causative psychosocial stressors and intervening physiological mechanisms. Emphasis on prevention and control of stress through techniques such as biofeedback, meditation and neuromuscular relaxation."
HLTH285H,Controlling Stress and Tension,"Health problems related to stress and tension. Analysis of causative psychosocial stressors and intervening physiological mechanisms. Emphasis on prevention and control of stress through techniques such as biofeedback, meditation and neuromuscular relaxation."
HLTH302,Measuring Change in Community Based Research,Prerequisite: Minimum grade of C- in HLTH200 and EPIB301.  Restriction: Must be in Community Health program.
HLTH306,Macro Level Influences on Community Health,Prerequisite: Minimum grade of C- in HLTH124.  Restriction: Must be in a major within the SPHL-Behavioral & Community Health department.
HLTH364,Social Media & Digital Tools for Community & Public Health,Prerequisite: Completion of HLTH230 with a C- or higher.  Restriction: Must be in Community Health program; and must have earned a minimum of 30 credits.
HLTH366,Behavioral and Community Issues in Public Health,"Prerequisite: HLTH130, HLTH230, PSYC100, SOCY100, SOCY105, or ANTH260. Restriction: Must be in Public Health Science program; or permission of SPHL-Behavioral & Community Health department. And must have earned a minimum of 45 credits.  Additional information: This course will initially be restricted to Public Health Science (PHSC) majors, but could ultimately be opened to other majors, particularly those in HLTH."
HLTH377,Human Sexuality,"The biological and developmental aspects of human sexuality; the psychological and emotional aspects of sexual behavior; sexual identity; the historical, cultural, social, linguistic, legal and moral forces affecting sexual issues; the importance of communication, disclosure and intimacy in interpersonal relationships; and research trends in the area of human sexuality."
